"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1","1","4.7µF","","","","Capacitor_SMD:C_0402_1005Metric","~"
"C2","1","220nF","","","","Capacitor_SMD:C_0402_1005Metric","~"
"C3","1","1µF","","","","Capacitor_SMD:C_0402_1005Metric","~"
"C4,C6","2","0.1μF","","","","Capacitor_SMD:C_0402_1005Metric","~"
"C5","1","10μF","","","","Capacitor_SMD:C_0402_1005Metric","~"
"C7","1","10µF","","","","Capacitor_SMD:C_0402_1005Metric","~"
"C8","1","0.1µF","","","","Capacitor_SMD:C_0402_1005Metric","~"
"D1","1","MBR0540","","","","Diode_SMD:D_SOD-123","http://www.mccsemi.com/up_pdf/MBR0520~MBR0580(SOD123).pdf"
"H1,H2,H3,H4","4","MountingHole","","从 BOM 中移除","","MountingHole:MountingHole_2.7mm_M2.5_ISO14580","~"
"J1","1","Conn_01x24_MountingPin","","","","Connector_FFC-FPC:Jushuo_AFC07-S24FCA-00_1x24-1MP_P0.50_Horizontal","~"
"J2","1","Conn_01x06_MountingPin","","","","Connector_FFC-FPC:Jushuo_AFC07-S06FCA-00_1x6-1MP_P0.50_Horizontal","~"
"J3","1","Conn_01x15_MountingPin","","","","Connector_FFC-FPC:JUSHUO_AFA07-S15FCA-00_1x15-1MP_P1.0mm_Horizontal","~"
"J4","1","Conn_01x08_MountingPin","","","","Connector_FFC-FPC:TE_0-1734839-8_1x08-1MP_P0.5mm_Horizontal","~"
"J5","1","Conn_01x02_MountingPin","","","","Connector_JST:JST_GH_SM02B-GHS-TB_1x02-1MP_P1.25mm_Horizontal","~"
"J6","1","Conn_01x07_MountingPin","","","","Connector_JST:JST_GH_SM07B-GHS-TB_1x07-1MP_P1.25mm_Horizontal","~"
"L1,L2","2","10µH","","","","Inductor_SMD_Wurth:L_Wurth_WE-LQSH-2512","~"
"Q1","1","AO3400A","","","","Package_TO_SOT_SMD:SOT-23","http://www.aosmd.com/pdfs/datasheet/AO3400A.pdf"
"R1","1","10Ω","","","","Resistor_SMD:R_0402_1005Metric","~"
"R2,R3","2","20Ω","","","","Resistor_SMD:R_0402_1005Metric","~"
"R4,R5,R9,R16","4","10kΩ","","","","Resistor_SMD:R_0402_1005Metric","~"
"R6,R8,R10,R11,R12,R13,R14,R15","8","360Ω","","","","Resistor_SMD:R_0402_1005Metric","~"
"R7","1","120Ω","","","","Resistor_SMD:R_0402_1005Metric","~"
"TP1,TP2,TP3,TP4","4","TestPoint","","","","TestPoint:TestPoint_Pad_D1.0mm","~"
"U1","1","TPS61165DBV","","","","Package_SON:WSON-6-1EP_2x2mm_P0.65mm_EP1x1.6mm_ThermalVias","https://www.ti.com/lit/ds/symlink/tps61165.pdf"
"U2","1","BMI088","","","","Artix_Library:BOSCH_PQFN50P450X300X100_16N","https://www.bosch-sensortec.com/media/boschsensortec/downloads/datasheets/bst-bmi088-ds001.pdf"
"U3","1","BH1745NUC","","","","Package_SON:WSON-8-1EP_2x2mm_P0.5mm_EP0.9x1.6mm",""
